s_mm,theta_deg,kappa_1_per_m,E_Pa,C
0.0,0.0,4.0249999999999995,1000000000.0,1000000.0
4.040404040404041,0.9271031193735052,3.98459595959596,1000000000.0,1000000.0
8.080808080808081,1.8448527801998287,3.94419191919192,1000000000.0,1000000.0
12.121212121212121,2.75324898247897,3.9037878787878784,1000000000.0,1000000.0
16.161616161616163,3.652291726210929,3.863383838383839,1000000000.0,1000000.0
20.2020202020202,4.5419810113957055,3.8229797979797984,1000000000.0,1000000.0
24.242424242424242,5.422316838033301,3.7825757575757577,1000000000.0,1000000.0
28.282828282828284,6.293299206123714,3.742171717171717,1000000000.0,1000000.0
32.323232323232325,7.154928115666944,3.701767676767677,1000000000.0,1000000.0
36.36363636363636,8.007203566662993,3.661363636363637,1000000000.0,1000000.0
40.4040404040404,8.85012555911186,3.620959595959597,1000000000.0,1000000.0
44.44444444444444,9.683694093013544,3.5805555555555553,1000000000.0,1000000.0
48.484848484848484,10.507909168368045,3.540151515151516,1000000000.0,1000000.0
52.525252525252526,11.322770785175365,3.499747474747475,1000000000.0,1000000.0
56.56565656565657,12.128278943435502,3.4593434343434333,1000000000.0,1000000.0
60.60606060606061,12.924433643148458,3.4189393939393944,1000000000.0,1000000.0
64.64646464646465,13.711234884314232,3.378535353535354,1000000000.0,1000000.0
68.68686868686868,14.488682666932824,3.3381313131313135,1000000000.0,1000000.0
72.72727272727272,15.256776991004234,3.2977272727272724,1000000000.0,1000000.0
76.76767676767676,16.01551785652846,3.2573232323232326,1000000000.0,1000000.0
80.8080808080808,16.764905263505504,3.216919191919192,1000000000.0,1000000.0
84.84848484848486,17.50493921193537,3.176515151515152,1000000000.0,1000000.0
88.88888888888889,18.23561970181805,3.136111111111111,1000000000.0,1000000.0
92.92929292929293,18.956946733153547,3.095707070707071,1000000000.0,1000000.0
96.96969696969697,19.668920305941864,3.05530303030303,1000000000.0,1000000.0
101.01010101010101,20.371540420182995,3.0148989898989904,1000000000.0,1000000.0
105.05050505050505,21.06480707587695,2.9744949494949493,1000000000.0,1000000.0
109.09090909090908,21.74872027302372,2.934090909090909,1000000000.0,1000000.0
113.13131313131314,22.423280011623312,2.8936868686868693,1000000000.0,1000000.0
117.17171717171718,23.088486291675718,2.853282828282829,1000000000.0,1000000.0
121.21212121212122,23.744339113180946,2.812878787878788,1000000000.0,1000000.0
125.25252525252526,24.39083847613899,2.772474747474747,1000000000.0,1000000.0
129.2929292929293,25.027984380549846,2.7320707070707075,1000000000.0,1000000.0
133.33333333333334,25.655776826413526,2.691666666666667,1000000000.0,1000000.0
137.37373737373736,26.27421581373002,2.651262626262626,1000000000.0,1000000.0
141.4141414141414,26.883301342499337,2.610858585858586,1000000000.0,1000000.0
145.45454545454544,27.483033412721465,2.5704545454545458,1000000000.0,1000000.0
149.49494949494948,28.073412024396415,2.530050505050505,1000000000.0,1000000.0
153.53535353535352,28.654437177524184,2.4896464646464653,1000000000.0,1000000.0
157.57575757575756,29.226108872104774,2.4492424242424247,1000000000.0,1000000.0
161.6161616161616,29.78842710813818,2.408838383838384,1000000000.0,1000000.0
165.65656565656568,30.3413918856244,2.3684343434343433,1000000000.0,1000000.0
169.69696969696972,30.885003204563443,2.3280303030303027,1000000000.0,1000000.0
173.73737373737376,31.4192610649553,2.2876262626262625,1000000000.0,1000000.0
177.77777777777777,31.944165466799976,2.2472222222222227,1000000000.0,1000000.0
181.8181818181818,32.45971641009747,2.2068181818181816,1000000000.0,1000000.0
185.85858585858585,32.96591389484778,2.1664141414141413,1000000000.0,1000000.0
189.8989898989899,33.46275792105091,2.1260101010101016,1000000000.0,1000000.0
193.93939393939394,33.95024848870686,2.0856060606060605,1000000000.0,1000000.0
197.97979797979798,34.42838559781562,2.0452020202020202,1000000000.0,1000000.0
202.02020202020202,34.8971692483772,2.00479797979798,1000000000.0,1000000.0
206.06060606060606,35.356599440391605,1.9643939393939394,1000000000.0,1000000.0
210.1010101010101,35.806676173858826,1.9239898989898998,1000000000.0,1000000.0
214.14141414141415,36.24739944877886,1.8835858585858587,1000000000.0,1000000.0
218.18181818181816,36.678769265151715,1.8431818181818178,1000000000.0,1000000.0
222.2222222222222,37.100785622977384,1.8027777777777776,1000000000.0,1000000.0
226.26262626262627,37.51344852225588,1.7623737373737374,1000000000.0,1000000.0
230.3030303030303,37.916757962987184,1.7219696969696967,1000000000.0,1000000.0
234.34343434343435,38.31071394517131,1.6815656565656574,1000000000.0,1000000.0
238.3838383838384,38.69531646880825,1.6411616161616163,1000000000.0,1000000.0
242.42424242424244,39.07056553389801,1.6007575757575754,1000000000.0,1000000.0
246.46464646464648,39.43646114044059,1.560353535353536,1000000000.0,1000000.0
250.50505050505052,39.79300328843598,1.5199494949494952,1000000000.0,1000000.0
254.54545454545453,40.1401919778842,1.479545454545455,1000000000.0,1000000.0
258.5858585858586,40.478027208785235,1.4391414141414143,1000000000.0,1000000.0
262.62626262626264,40.80650898113909,1.3987373737373736,1000000000.0,1000000.0
266.6666666666667,41.125637294945754,1.358333333333334,1000000000.0,1000000.0
270.7070707070707,41.435412150205245,1.3179292929292934,1000000000.0,1000000.0
274.7474747474747,41.73583354691755,1.2775252525252527,1000000000.0,1000000.0
278.7878787878788,42.02690148508267,1.237121212121212,1000000000.0,1000000.0
282.8282828282828,42.30861596470061,1.1967171717171714,1000000000.0,1000000.0
286.8686868686869,42.58097698577137,1.1563131313131307,1000000000.0,1000000.0
290.9090909090909,42.84398454829494,1.1159090909090918,1000000000.0,1000000.0
294.949494949495,43.097638652271336,1.0755050505050505,1000000000.0,1000000.0
298.98989898989896,43.34193929770054,1.0351010101010105,1000000000.0,1000000.0
303.03030303030306,43.57688648458257,0.99469696969697,1000000000.0,1000000.0
307.07070707070704,43.80248021291742,0.9542929292929297,1000000000.0,1000000.0
311.11111111111114,44.01872048270509,0.9138888888888885,1000000000.0,1000000.0
315.1515151515151,44.22560729394558,0.8734848484848495,1000000000.0,1000000.0
319.19191919191917,44.42314064663888,0.8330808080808083,1000000000.0,1000000.0
323.2323232323232,44.611320540785,0.7926767676767688,1000000000.0,1000000.0
327.27272727272725,44.79014697638394,0.7522727272727275,1000000000.0,1000000.0
331.31313131313135,44.95961995343569,0.7118686868686863,1000000000.0,1000000.0
335.35353535353534,45.11973947194027,0.6714646464646473,1000000000.0,1000000.0
339.39393939393943,45.27050553189766,0.6310606060606067,1000000000.0,1000000.0
343.4343434343434,45.41191813330787,0.5906565656565654,1000000000.0,1000000.0
347.4747474747475,45.54397727617089,0.5502525252525253,1000000000.0,1000000.0
351.5151515151515,45.66668296048674,0.5098484848484852,1000000000.0,1000000.0
355.55555555555554,45.780035186255404,0.46944444444444394,1000000000.0,1000000.0
359.5959595959596,45.88403395347688,0.42904040404040444,1000000000.0,1000000.0
363.6363636363636,45.978679262151175,0.38863636363636433,1000000000.0,1000000.0
367.67676767676767,46.063971112278296,0.34823232323232367,1000000000.0,1000000.0
371.7171717171717,46.13990950385823,0.30782828282828356,1000000000.0,1000000.0
375.75757575757575,46.20649443689098,0.2674242424242429,1000000000.0,1000000.0
379.7979797979798,46.26372591137655,0.22702020202020165,1000000000.0,1000000.0
383.83838383838383,46.311603927314934,0.18661616161616268,1000000000.0,1000000.0
387.8787878787879,46.35012848470613,0.14621212121212143,1000000000.0,1000000.0
391.9191919191919,46.37929958355016,0.10580808080808021,1000000000.0,1000000.0
395.95959595959596,46.39911722384699,0.06540404040404124,1000000000.0,1000000.0
400.0,46.40958140559666,0.02500000000000055,1000000000.0,1000000.0
